id,latitude,longitude,couleur,nom,description,T2,T3,Super_chargeur,distance_km
1,42.83004,2.917944,#0000FF,reveo,Impasse D'En Valette 66600 SALSES LE CHATEAU,2,0,Non,16.6
2,42.85528,3.036389,#0000FF,reveo,Collège- Annexe Port Leucate-Rue De L'Estagnol 11370 LEUCATE,2,0,Non,28.2
3,42.93500,3.031667,#0000FF,reveo,Parking Avenue Des Tamarins La Franqui 11370 LEUCATE,2,1,Non,39.5
4,42.99306,2.953611,#0000FF,reveo,Rue De La Capelle 11540 ROQUEFORT-DES-CORBIERES,2,1,Non,44.5
4,43.02750,2.981667,#0000FF,reveo,Place De L'Octroi 11130 SIGEAN,2,1,Non,47.2
6,43.05166,2.928098,#0000FF,reveo,Avenue Des Corbieres 11490 PORTEL-DES-CORBIERES,2,1,Non,49.7
7,43.05778,2.921944,#0000FF,reveo,Chemin Des Platrieres Parking Terra Vinea 11490 PORTEL DES CORBIERES,2,1,Non,49.5
8,43.08778,2.959722,#0000FF,reveo,Place Joseph Aubin Fabre 11440 PEYRIAC DE MER,2,1,Non,56.4
9,43.12250,2.989722,#0000FF,reveo,Rue Des Elysiques 11100 BAGES,2,1,Non,68.6
10,43.16852,2.985048,#FF0000,TESLASUPERCHARGER,130 Rue de L'Hotellerie 11100 Narbonne,0,0,Oui,62.7
11,43.17431,2.992752,#0000FF,reveo,Avenue Général Leclerc 11100 NARBONNE,2,1,Non,63
12,43.18861,2.928611,#0000FF,reveo,Avenue Du Languedoc Parking De La Maison Des Associations 11100 MONTREDON-DES CORBIERES,2,1,Non,68.4
13,43.16417,2.868611,#0000FF,reveo,Rue De La Distillerie 11200 BIZANET,2,1,Non,75.4
14,43.14334,2.727379,#0000FF,reveo,Av De La Mer 11200 FERRALS-LES-CORBIERES,2,1,Non,85.1
15,43.18494,2.590176,#0000FF,reveo,Avenue Des Corbières 11700 DOUZENS,2,1,Non,98.2
16,43.18556,2.56,#0000FF,reveo,Rue Du Cers - Parking Pole Santé 11700 CAPENDU,2,1,Non,100.3
17,43.18556,2.56,#0000FF,reveo,Parking Le Jerroir Vignerons Des Coteaux De L'Alaric 11700 CAPENDU,2,1,Non,101
18,43.20889,2.444722,#0000FF,reveo,Parking Le Stade 11800 TREBES,2,1,Non,111.9
19,43.21056,2.443889,#0000FF,reveo,Place Du 19 Mars 62 11800 TREBES,2,1,Non,111.8
20,43.21056,2.443889,#0000FF,reveo,Place Du 19 Mars 62 11800 TREBES,2,1,Non,111.8
21,43.17333,2.388611,#0000FF,reveo,Centre Commercial Lo Moral 11570 PALAJA,2,1,Non,119.1
22,49.20,2.21,#0000FF,reveo,Rue Des Condamines 11290 ARZENS,2,1,Non,129.7
22,43.22141,2.395041,#0000FF,reveo,Chemin De La Madeleine 11010 CARCASSONNE,2,1,Non,115
24,43.20028,2.141944,#0000FF,reveo,Place De La Republique 11290 MONTREAL,2,1,Non,135
25,43.23917,2.228056,#0000FF,reveo,Rue Saint Roch - Parking Halte Secondaire Canal Midi 11170 VILLESEQUELANDE,2,1,Non,130.3
26,43.25534,2.174213,#0000FF,reveo,2 Chemin De Cayrol 11170 ALZONNE,2,1,Non,136.6
27,43.24306,2.115833,#0000FF,reveo,Parking Rue Marceau 11150 BRAM,2,1,Non,137.9
28,43.24289,2.114722,#0000FF,reveo,Place Carnot 11150 BRAM,2,1,Non,137.8
29,43.24389,2.111667,#0000FF,reveo,Rue Du Chanoine Andrieu 11150 BRAM,2,1,Non,137.8
30,43.28249,2.088504,#0000FF,reveo,Rue Léon Blum 11150 VILLEPINTE,2,1,Non,144.6
31,43.28249,2.088504,#0000FF,reveo,Rue Léon Blum 11150 VILLEPINTE,2,1,Non,144.6
32,43.295,2.043056,#0000FF,reveo,Grand Rue Parking Du Chateau D'Eau 11400 LASBORDES,2,1,Non,147.2
